Laserleistung;Scangeschwindigkeit;Hatchabstand;Schichtdicke;ED;TE;Dichte
243;789;0.0771299999999999;0.075;0.3079847908745247;53.24081263227015;99.382
187;689;0.14951;0.05;0.2714078374455733;36.30631227952288;99.651
284;525;0.16396;0.05;0.540952380952381;65.98589667630898;98.294
51;349;0.05873;0.025;0.1461318051575931;99.52787683132512;82.766
323;564;0.15615;0.075;0.5726950354609929;48.90127317416952;98.003
213;548;0.1366;0.05;0.3886861313868613;56.90865759690503;97.542
279;1426;0.18346;0.05;0.1956521739130435;21.32913702311604;98.657
340;559;0.10328;0.075;0.6082289803220036;78.52168607307044;97.07
347;1057;0.10651;0.1;0.3282876064333018;30.82223325822005;99.862
185;1515;0.10066;0.05;0.1221122112211221;24.26231099167934;98.977
256;524;0.15241;0.1;0.4885496183206107;32.05495822587827;97.92
143;431;0.18827;0.1;0.3317865429234338;17.62291086861602;87.384
129;482;0.08195;0.075;0.2676348547717842;43.54441403649123;96.189
171;943;0.13128;0.025;0.1813361611876988;55.25172492007886;99.897
142;1036;0.0669599999999999;0.025;0.1370656370656371;81.87911413717865;99.992
331;1574;0.05297;0.05;0.210292249047014;79.4005093626634;99.897
207;221;0.11569;0.1;0.9366515837104072;80.9621906569632;95.316
349;713;0.08461;0.075;0.4894810659186536;77.13525838847316;97.801
94;331;0.15538;0.075;0.283987915407855;24.36932384329643;89.173
349;1080;0.1963;0.075;0.3231481481481481;21.94927139739502;99.537
147;1390;0.07867;0.025;0.1057553956834532;53.77165154872415;99.99
276;542;0.10822;0.025;0.5092250922509225;188.2184780081029;98.533
102;273;0.06365;0.075;0.3736263736263736;78.26684967297695;99.653
240;639;0.06641;0.075;0.3755868544600939;75.4076905004455;98.093
97;612;0.06594;0.075;0.1584967320261438;32.04867698435827;90.799
240;1301;0.07435;0.025;0.1844734819369716;99.24598893717366;99.971
175;1590;0.11882;0.025;0.110062893081761;37.05197545253695;99.135
207;472;0.08543;0.1;0.4385593220338983;51.33551703545572;96.659
138;292;0.13943;0.1;0.4726027397260274;33.89534101169242;95.666
231;800;0.14743;0.025;0.28875;78.34226412534761;99.954
337;1397;0.09575;0.075;0.2412312097351468;33.59181336607788;99.95
222;1620;0.09365;0.075;0.137037037037037;19.51052315885916;99.425
286;514;0.11403;0.05;0.556420233463035;97.59190273840832;97.415
323;1500;0.12435;0.05;0.2153333333333333;34.63342715453692;99.932
250;1649;0.17821;0.075;0.1516070345664039;11.34295004518294;80.777
185;510;0.18263;0.05;0.3627450980392157;39.72459048778577;98.163
134;995;0.08161;0.075;0.1346733668341709;22.00275568094937;93.227
139;459;0.0629;0.05;0.3028322440087146;96.29006168798556;97.978
149;1031;0.05981;0.025;0.1445198836081474;96.65265581551408;100.0
208;953;0.18862;0.1;0.2182581322140609;11.57131440006685;81.391
168;1283;0.15592;0.05;0.1309431021044427;16.79619062396648;88.853
182;908;0.14587;0.025;0.2004405286343612;54.96415400955954;99.993
69;218;0.19001;0.05;0.3165137614678899;33.31548460269354;80.384
181;1184;0.08782;0.025;0.1528716216216216;69.6295247650292;99.995
299;556;0.17553;0.025;0.5377697841726619;122.5476634587049;99.071
306;946;0.08589;0.05;0.3234672304439746;75.32127848270454;99.842
211;455;0.11203;0.1;0.4637362637362638;41.39393588648252;95.971
221;988;0.1704;0.025;0.2236842105263158;52.50803063998023;99.986
314;1488;0.07162;0.1;0.2110215053763441;29.4640471064429;99.837
313;1662;0.15096;0.1;0.1883273164861612;12.47531243284057;90.919
204;409;0.08576;0.05;0.4987775061124695;116.3193810896617;95.86
183;479;0.0778199999999999;0.1;0.3820459290187891;49.09354009493565;96.376
270;1103;0.12224;0.075;0.2447869446962829;26.70014667280572;99.966
248;1537;0.12164;0.1;0.1613532856213403;13.26482124476655;90.723
165;621;0.15958;0.1;0.2657004830917875;16.64998640755655;93.278
197;1542;0.10421;0.025;0.1277561608300908;49.03796596491345;99.972
185;1605;0.05302;0.075;0.1152647975077882;28.9864950352793;99.938
295;1410;0.1722;0.025;0.2092198581560284;48.59927018723074;99.972
178;918;0.15109;0.075;0.1938997821350762;17.11119484060946;92.691
339;1039;0.10103;0.025;0.3262752646775746;129.1795564397009;99.933
185;1076;0.0787;0.05;0.1719330855018587;43.69328729399205;99.988
112;365;0.06003;0.05;0.3068493150684932;102.2319890283169;99.929
245;428;0.16122;0.075;0.572429906542056;47.34151317388712;96.487
115;288;0.10975;0.075;0.3993055555555556;48.51092550409179;99.349
335;512;0.16815;0.075;0.654296875;51.88200019823571;98.508
249;762;0.11253;0.025;0.3267716535433071;116.1545022814563;99.73
296;1408;0.09071;0.1;0.2102272727272727;23.17575490323809;99.788
289;678;0.08801;0.1;0.4262536873156342;48.43241532958007;98.237
348;1524;0.0673199999999999;0.05;0.2283464566929134;67.839113693676;99.936
215;873;0.16894;0.075;0.2462772050400917;19.43705497337055;98.643
173;427;0.07413;0.1;0.405152224824356;54.65428636508241;95.581
338;577;0.14412;0.025;0.58578856152513;162.5835585692839;98.96
288;454;0.1065;0.075;0.6343612334801763;79.41924675808154;97.259
101;683;0.08968;0.025;0.1478770131771596;65.95763299605689;99.93
72;478;0.11519;0.025;0.1506276150627615;52.30579566377689;94.041
162;221;0.19321;0.1;0.7330316742081447;37.93963429471273;97.751
265;1507;0.18015;0.025;0.1758460517584605;39.04436342125129;99.533
329;897;0.14194;0.075;0.3667781493868451;34.45382080567799;99.867
262;1585;0.14594;0.1;0.1652996845425868;11.32655094851218;88.005
346;1480;0.15361;0.1;0.2337837837837838;15.21930758308598;97.459
247;1586;0.05295;0.05;0.1557377049180328;58.82444000681124;99.99
294;398;0.14223;0.075;0.7386934673366834;69.24872552313703;97.314
333;932;0.07454;0.075;0.3572961373390558;63.91130262750305;99.397
295;745;0.0640699999999999;0.1;0.3959731543624161;61.80320811025693;98.344
292;1239;0.06335;0.075;0.2356739305891848;49.6025110421857;99.916
206;1112;0.14628;0.025;0.1852517985611511;50.65676744904323;99.996
274;1168;0.08671;0.1;0.2345890410958904;27.05443906076467;99.937
205;1686;0.0866099999999999;0.025;0.1215895610913404;56.15497568010182;99.992
341;824;0.1514;0.025;0.4138349514563107;109.3355221813238;99.883
249;1655;0.12478;0.05;0.1504531722054381;24.11494986463184;99.736
199;1483;0.15624;0.05;0.1341874578556979;17.17709393954146;92.537
128;544;0.18435;0.075;0.2352941176470588;17.01792732281413;83.89
171;226;0.10419;0.075;0.7566371681415929;96.82786807967403;92.741
155;1012;0.06731;0.075;0.1531620553359684;30.33963360292545;99.71
172;975;0.18368;0.025;0.1764102564102564;38.41686768516036;99.483
307;1534;0.13467;0.025;0.2001303780964798;59.44319539510798;99.97
304;1362;0.07568;0.1;0.223201174743025;29.4927556478627;99.947
141;758;0.14995;0.075;0.1860158311345647;16.5402539632824;87.188
220;809;0.10387;0.1;0.2719406674907293;26.1808671888639;99.336
216;998;0.05065;0.05;0.2164328657314629;85.46213849218672;99.979
306;559;0.16424;0.1;0.5474060822898033;33.32964456221403;98.472
73;535;0.05772;0.05;0.1364485981308411;47.27948653182298;87.419
101;204;0.16475;0.075;0.4950980392156863;40.06863240996955;98.033
213;565;0.11509;0.025;0.3769911504424779;131.0248155156757;97.828
207;473;0.11265;0.05;0.4376321353065539;77.69767160347162;95.939
161;556;0.15227;0.1;0.289568345323741;19.01676924697846;96.531
197;281;0.12075;0.075;0.701067615658363;77.41257315758322;92.391
171;511;0.1393;0.1;0.3346379647749511;24.02282589913504;98.713
340;1671;0.15962;0.025;0.2034709754637941;50.98884236656912;99.959
186;1025;0.10617;0.025;0.1814634146341463;68.36711486640155;99.982
289;531;0.13867;0.075;0.544256120527307;52.33106132326694;97.182
142;446;0.19657;0.075;0.3183856502242152;21.59608283557784;94.425
203;1148;0.16414;0.05;0.1768292682926829;21.54615185727829;97.666
69;340;0.11362;0.05;0.2029411764705882;35.72279114074779;85.134
327;1099;0.19531;0.075;0.2975432211101001;20.31254389501136;99.062
170;516;0.17772;0.1;0.3294573643410852;18.53800159470433;96.113
208;857;0.13732;0.025;0.2427071178529755;70.69825745790139;99.972
270;1641;0.06038;0.1;0.1645338208409506;27.24972190144926;99.819
294;1196;0.15889;0.1;0.245819397993311;15.47104273354592;98.123
140;519;0.18602;0.075;0.2697495183044316;19.33480402139065;90.125
302;1580;0.14684;0.1;0.1911392405063291;13.01683740849422;91.474
195;1650;0.16768;0.025;0.1181818181818182;28.19222761970854;95.693
292;551;0.13497;0.1;0.52994555353902;39.26395151063347;98.065
237;923;0.18231;0.05;0.2567713976164681;28.16865751922199;99.815
307;828;0.06163;0.05;0.3707729468599034;120.3222284147017;98.772
292;945;0.10488;0.075;0.308994708994709;39.28231744148348;99.856
192;454;0.10093;0.025;0.4229074889867842;167.6042758294993;96.885
296;1229;0.17975;0.1;0.2408462164361269;13.39895501730887;91.407
193;358;0.12168;0.025;0.5391061452513967;177.2209550464815;96.814
88;989;0.06029;0.025;0.0889787664307381;59.03384735826049;97.654
176;988;0.13942;0.05;0.1781376518218623;25.55410297258103;99.306
183;1177;0.07205;0.075;0.1554800339847069;28.77261790140307;99.982
124;488;0.09719;0.075;0.2540983606557377;34.85932855310735;97.492
296;1111;0.1899;0.025;0.2664266426642664;56.11935601143052;99.993
198;799;0.09469;0.075;0.2478097622027534;34.89418272999661;99.595
138;1597;0.10424;0.05;0.0864120225422667;16.57943640488617;81.616
166;322;0.10152;0.05;0.515527950310559;101.5618499429785;92.479
220;1146;0.0620499999999999;0.05;0.1919720767888307;61.87657591904294;99.961
301;486;0.13678;0.05;0.6193415637860082;90.56025205234802;98.401
275;384;0.10933;0.075;0.7161458333333334;87.33752045285934;96.033
234;839;0.18367;0.025;0.2789034564958284;60.74012228362353;99.984
217;702;0.18206;0.025;0.3091168091168091;67.91537056284942;99.851
192;1386;0.08764;0.05;0.1385281385281385;31.61299373074818;99.995
335;1171;0.17647;0.075;0.2860802732707088;21.61502603054032;99.537
140;858;0.10229;0.05;0.1631701631701632;31.90344377166159;99.79
185;354;0.13666;0.05;0.5225988700564972;76.48161423335243;95.389
200;558;0.12412;0.075;0.3584229390681004;38.50284016200455;97.487
140;1140;0.09305;0.05;0.1228070175438596;26.39591994494565;98.306
239;1567;0.05323;0.075;0.1525207402680281;38.20420571558095;99.971
138;276;0.17728;0.1;0.5;28.20397111913357;96.254
140;725;0.10016;0.1;0.1931034482758621;19.279497631376;90.252
242;710;0.11737;0.1;0.3408450704225352;29.04022070567736;99.152
295;905;0.0508;0.075;0.3259668508287293;85.55560389205493;99.442
280;1588;0.11086;0.025;0.1763224181360201;63.6198513931157;99.989
274;1131;0.10755;0.075;0.242263483642794;30.03421461556411;99.992
254;1236;0.14066;0.1;0.2055016181229773;14.60981217993583;94.785
163;231;0.1066;0.1;0.7056277056277056;66.19396863299302;92.888
235;998;0.11313;0.05;0.2354709418837675;41.6283818410267;99.962
275;716;0.05995;0.05;0.3840782122905028;128.1328481369484;98.495
159;1236;0.06633;0.025;0.1286407766990291;77.5762259605181;99.993
323;788;0.17542;0.05;0.4098984771573604;46.73338013423331;99.845
345;1238;0.12945;0.025;0.278675282714055;86.11055472044957;99.995
91;253;0.08331;0.1;0.3596837944664031;43.17414409631534;96.751
248;764;0.0732;0.075;0.3246073298429319;59.1270181863264;99.31
184;1140;0.06981;0.05;0.1614035087719298;46.24079896058726;99.98
342;836;0.15139;0.1;0.4090909090909091;27.0223204366807;99.793
214;1212;0.0775199999999999;0.075;0.1765676567656766;30.3693940085443;99.959
297;1634;0.09161;0.075;0.1817625458996328;26.45454221149551;99.973
324;1297;0.19336;0.025;0.2498072474942174;51.67713022222122;99.985
325;429;0.18273;0.075;0.7575757575757576;55.27833470699995;97.431
304;1395;0.13709;0.075;0.217921146953405;21.19494706187225;99.918
318;1636;0.07648;0.1;0.1943765281173594;25.41534101952921;99.993
344;623;0.06793;0.05;0.5521669341894061;162.569390310439;98.611
333;1106;0.08956;0.05;0.3010849909584087;67.23648748512923;99.961
260;1649;0.10869;0.025;0.15767131594906;58.02606162445856;99.996
263;1256;0.19582;0.075;0.2093949044585987;14.25764507939936;93.431
340;1168;0.06039;0.1;0.2910958904109589;48.20266441645287;99.838
207;1471;0.19482;0.025;0.1407205982324949;28.89243367877936;97.333
202;1542;0.08136;0.025;0.1309987029831388;64.40447540960608;99.987
201;1441;0.1879;0.05;0.1394864677307426;14.84688320710405;84.773
201;767;0.08618;0.1;0.2620599739243807;30.40844440988404;99.567
292;1139;0.1815;0.1;0.2563652326602283;14.12480620717511;93.411
185;611;0.18374;0.1;0.3027823240589198;16.47884641661695;92.273
255;853;0.16189;0.075;0.2989449003516999;24.6212366711306;99.908
292;727;0.08234;0.05;0.4016506189821183;97.55905246104405;98.412
348;1414;0.13532;0.075;0.2461103253182461;24.24971182562283;99.982
101;595;0.12236;0.025;0.1697478991596639;55.49130407311667;99.092
81;217;0.13186;0.025;0.3732718894009217;113.2327891402766;99.022
248;1486;0.18529;0.05;0.1668909825033647;18.01403016928758;94.076
350;1008;0.10475;0.05;0.3472222222222222;66.29541235746487;99.926
198;1112;0.06188;0.1;0.1780575539568345;28.77465319276576;99.813
281;582;0.19263;0.025;0.4828178694158076;100.2580842892192;99.222
106;528;0.06233;0.05;0.2007575757575757;64.41764022383306;98.818
184;621;0.07124;0.025;0.2962962962962963;166.3651298687795;96.967
305;752;0.07438;0.075;0.4055851063829787;72.70504730357243;98.574
308;673;0.13792;0.1;0.4576523031203566;33.18244657195162;98.796
344;1400;0.05122;0.075;0.2457142857142857;63.96310964838884;99.969
252;910;0.07515;0.05;0.2769230769230769;73.69875633348686;99.89
146;1172;0.0937699999999999;0.05;0.1245733788395904;26.56998588878969;98.83
320;1649;0.14945;0.075;0.194057004244997;17.31299246080044;98.026
222;771;0.19098;0.075;0.2879377431906615;20.10247098758414;98.548
317;1451;0.1291;0.05;0.2184700206753963;33.84508453530539;99.972
323;1611;0.17781;0.1;0.2004965859714463;11.27588920597527;85.875
233;1327;0.15872;0.1;0.1755840241145441;11.06250151931351;81.626
175;1612;0.11175;0.075;0.108560794044665;12.95281658996749;81.384
303;823;0.14555;0.05;0.3681652490886999;50.58952237563721;99.814
282;1521;0.13791;0.1;0.1854043392504931;13.44386478504047;89.741
321;1395;0.10953;0.1;0.2301075268817204;21.00863022749205;99.929
256;293;0.06645;0.1;0.8737201365187713;131.4853478583553;96.71
285;755;0.15568;0.1;0.3774834437086093;24.24739489392402;99.758
75;437;0.16772;0.025;0.1716247139588101;40.93124587617697;86.732
343;1586;0.09361;0.05;0.2162673392181589;46.20603337638262;99.99
291;1163;0.08413;0.025;0.2502149613069647;118.9658677318268;99.931
297;1544;0.0758799999999999;0.1;0.1923575129533679;25.35022574504058;99.938
223;1369;0.10647;0.025;0.1628926223520818;61.19756639507159;99.932
186;926;0.06739;0.025;0.2008639308855291;119.224769779213;99.996
309;349;0.13541;0.1;0.8853868194842407;65.38563026986489;95.934
337;1037;0.08195;0.1;0.3249758919961427;39.65538645468489;99.756
327;383;0.13683;0.1;0.8537859007832899;62.39756638042022;96.674
146;1271;0.16655;0.025;0.1148701809598741;27.58815513896706;93.959
244;1582;0.18239;0.05;0.1542351453855879;16.91267562756597;93.889
191;397;0.08362;0.075;0.4811083123425693;76.7134357558111;93.761
278;728;0.0781299999999999;0.1;0.3818681318681318;48.87599281558069;98.849
257;364;0.16459;0.05;0.7060439560439561;85.79427134624898;96.868
210;276;0.08654;0.075;0.7608695652173914;117.2281896953072;95.29
99;309;0.10202;0.075;0.3203883495145631;41.87261968431851;93.954
134;489;0.06719;0.1;0.2740286298568507;40.78413898747592;91.565
237;1148;0.06364;0.05;0.2064459930313589;64.87931899162754;99.982
180;388;0.10345;0.025;0.4639175257731959;179.3784536580748;96.499
262;1651;0.1128;0.1;0.1586917019987886;14.06841329776495;93.372
281;1661;0.14831;0.1;0.1691751956652619;11.40686370880331;84.774
154;814;0.10364;0.025;0.1891891891891892;73.01782678085263;99.966
198;739;0.15967;0.075;0.2679296346414073;22.37361513466586;99.728
151;1260;0.08073;0.075;0.1198412698412698;19.79293444671866;94.593
219;1042;0.12208;0.025;0.2101727447216891;68.86393994812879;99.997
88;283;0.1384;0.025;0.3109540636042403;89.87111664862435;98.965
155;541;0.19446;0.05;0.2865064695009242;29.46687951259119;98.848
191;1307;0.15629;0.025;0.1461361897475134;37.40128984516307;99.583
298;492;0.18494;0.025;0.6056910569105691;131.0027158885193;98.463
253;616;0.1256;0.1;0.4107142857142857;32.70018198362148;98.385
314;1218;0.12482;0.05;0.2577996715927751;41.30743015426615;99.972
312;433;0.11554;0.075;0.7205542725173211;83.15207114619133;96.834
244;965;0.05451;0.075;0.2528497409326425;61.84791559533848;99.909
278;452;0.13631;0.05;0.6150442477876106;90.24198485622632;97.916
276;1165;0.11614;0.075;0.2369098712446352;27.19819427640608;99.952
273;653;0.05181;0.075;0.4180704441041347;107.5906695243222;98.399
115;358;0.13556;0.075;0.3212290502793296;31.59526411717612;94.159
340;1184;0.09575;0.025;0.2871621621621622;119.9633053418954;99.978
85;668;0.06243;0.025;0.1272455089820359;81.52843759861344;99.39
135;206;0.149;0.075;0.6553398058252428;58.64338307161009;97.237
333;1088;0.10521;0.025;0.3060661764705883;116.3639108337946;99.99
173;426;0.07689;0.1;0.4061032863849765;52.81613816945982;95.215
180;950;0.06613;0.1;0.1894736842105263;28.6516988069751;98.363
317;743;0.17384;0.025;0.4266487213997308;98.17043750569049;99.721
218;1486;0.06324;0.025;0.1467025572005383;92.79099127168776;99.986
237;1103;0.08842;0.025;0.214868540344515;97.20359210337703;99.993
180;790;0.15673;0.025;0.2278481012658228;58.15047566281446;99.97
238;1114;0.0975999999999999;0.075;0.2136445242369839;29.18641041488851;99.968
210;362;0.07668;0.075;0.580110497237569;100.8712393040461;95.206
313;1468;0.16281;0.05;0.2132152588555858;26.19191190413191;99.668
182;1045;0.05253;0.05;0.1741626794258373;66.30979608826854;99.982
335;597;0.15679;0.025;0.5611390284757118;143.1568412464346;99.172
316;1255;0.0746899999999999;0.05;0.251792828685259;67.4234378592205;99.995
286;1609;0.1622;0.05;0.1777501553760099;21.9174051018508;98.53
199;661;0.15368;0.05;0.3010590015128593;39.17998458001813;99.482
141;1015;0.11221;0.075;0.1389162561576355;16.50669948104869;88.849
260;1210;0.17759;0.075;0.2148760330578512;16.13274268880389;95.74
269;1179;0.07954;0.1;0.2281594571670908;28.6848701492445;99.953
318;1419;0.19888;0.05;0.2241014799154334;22.53635156028091;98.434
163;892;0.12288;0.05;0.1827354260089686;29.74209407698057;99.925
258;1240;0.07572;0.025;0.2080645161290323;109.9125811563826;99.982
267;856;0.06996;0.1;0.3119158878504673;44.58488962985524;99.676
163;864;0.08227;0.075;0.1886574074074074;30.57532634940358;99.825
167;1401;0.10864;0.075;0.1192005710206995;14.62942697848546;85.779
70;693;0.10047;0.025;0.101010101010101;40.2150297641489;86.206
249;1100;0.14953;0.1;0.2263636363636364;15.13834256427716;96.195
310;1391;0.12571;0.075;0.2228612508986341;23.63760516518273;99.993
287;1700;0.13305;0.025;0.1688235294117647;50.75491301368348;99.978
330;658;0.05132;0.1;0.5015197568389058;97.72403679635732;98.753
202;1490;0.09348;0.1;0.1355704697986577;14.50261765069081;89.282
255;1321;0.16985;0.025;0.1930355791067373;45.46024824415363;99.882
